Gene Symbol	CRISPR score 
TNFSF11	-0.03
MTRF1	-0.80
SOHLH2	-0.09
DNAJC15	-0.39
PROSER1	-0.63
UFM1	-0.21
WBP4	-0.57
ELF1	-0.38
SMAD9	-0.81
HSPH1	0.66
KBTBD7	-0.47
ALG5	-1.32
EXOSC8	-1.74
ETF1	-1.89
TGFBI	-0.31
FAM53C	-0.66
SIL1	-0.53
PAIP2	0.21
MYOT	0.64
KDM3B	-0.92
EGR1	0.38
SERP1	-0.58
PLS1	0.09
ZFP30	-0.10
NR2C1	-0.36
UTP20	-2.20
TMPO	0.39
ARL1	-0.63
GLT8D2	-0.40
MTERFD3	-0.39
SOCS2	-0.47
NFYB	-0.62
CCDC53	-1.09
APAF1	0.70
DUSP4	-0.42
CLU	-0.66
TNFRSF10B	-0.31
SORBS3	-0.22
PTK2B	-0.50
CHRNA2	-0.02
ADRA1A	-0.93
PPP3CC	-0.47
PDLIM2	-0.17
EPHX2	-0.39
RNF170	-0.25
NPPB	-0.61
UBIAD1	-0.42
TARDBP	-0.85
TNFRSF8	-0.64
PRAMEF2	-0.13
ZNF706	-0.54
LYPLA1	-0.69
CRISPLD1	-0.11
COPS5	-2.32
RDH10	-0.96
EPX	-0.49
AKAP1	-0.50
COIL	-0.89
TRIM25	0.28
SCPEP1	-0.87
SPOP	-0.39
TBX2	-0.80
SLC35B1	-2.13
TBX4	-0.38
TEX14	-0.77
FAM117A	-0.51
NCAPH	-2.05
LRAT	-0.51
KIAA0922	-0.58
MND1	0.01
TRIM6	0.00
ABCC11	-0.71
PAPD5	-0.95
ADCY7	-0.51
CEP89	-1.29
TSHZ3	-0.23
ECHDC2	-0.41
TAS2R8	0.29
PLBD1	0.15
TAS2R10	0.39
PRB2	0.47
PYROXD1	-1.76
IAPP	-0.21
KCNJ8	-0.58
TAS2R7	-0.28
BCL2L14	0.12
TAS2R9	-0.04
PSPC1	0.40
ZNF549	-0.23
A1BG	-0.67
ZSCAN18	-0.55
ZNF211	0.36
PDZRN3	-0.37
RGSL1	-0.14
LHX4	0.00
RNF2	-1.32
TRMT1L	-1.47
SEC22A	-0.22
CSTA	0.43
DPPA4	-0.76
POPDC2	-1.80
B4GALT4	0.13
NAA50	-1.65
CD80	0.17
KIF18A	-1.98
GJA8	-0.40
DESI2	0.27
MAPK8IP1	-0.70
CRY2	-0.47
PEX16	-1.37
DEPDC7	0.62
CAT	-0.07
PILRB	-0.15
ZMYM2	2.48
GJB6	-0.54
GJA3	-0.45
TBC1D15	-0.52
BAI2	-0.62
HCRTR1	-0.71
ZCCHC17	-0.36
FABP3	0.23
KHDRBS1	1.00
TMEM39B	-0.71
CCRL2	-0.32
CCR2	0.25
RNF115	0.25
POLR3GL	-0.87
GHSR	0.28
TNFSF10	0.34
ZNF639	-0.58
SLITRK3	-0.29
PIK3CA	-1.34
PDS5A	-0.64
TMEM156	0.09
LIAS	-1.43
CPXM2	-0.29
TMEM54	-0.42
ZSCAN20	-0.63
CSMD2	-1.05
HPCA	-0.13
LRIF1	-0.29
ADORA3	-0.51
CLCC1	-0.55
GPSM2	-0.48
GTDC1	0.51
CXCR4	-0.31
ZRANB3	-0.38
ACVR2A	-1.08
POLK	-0.40
SV2C	-1.23
FLT3	-0.49
MTIF3	-0.77
GTF3A	-1.64
RASL11A	-0.18
UBL3	0.10
FYTTD1	-0.18
MTERFD2	-1.68
XPNPEP2	-0.17
SASH3	-0.30
OCRL	-0.46
PAEP	-0.20
OBP2A	-0.66
MRPS2	-1.18
TBX22	-0.48
FMOD	-0.64
MYOG	-0.81
LAX1	-0.74
PLG	-0.67
KIAA1191	-0.47
COPA	-1.46
CD244	-0.25
LY9	0.12
HS3ST2	-0.15
RBBP6	-2.28
ZC3H7A	-0.43
PRM2	-0.73
SERAC1	-0.34
ANXA11	-0.67
LDB3	-0.49
OPN4	-0.32
FAM35A	-0.79
FAM213A	-0.48
ZNF205	-0.73
NAA60	-0.50
RPL5	-2.42
ODF2L	0.12
PTGFR	0.24
TRMT13	-0.28
LRRC39	-0.30
RWDD3	-0.40
ZNF644	0.10
RPAP2	-2.45
PQLC1	-0.20
BBS9	-0.39
PMS2	-0.43
ZMIZ2	-0.54
OCM	-0.86
EEPD1	-0.61
KLHL7	0.04
HERPUD2	0.10
CBX3	-0.48
HNRNPA2B1	-1.13
WIPF3	-1.09
NXPH1	0.05
NPY	-0.45
FAM126A	0.25
HOXA7	-0.27
INHBA	-0.42
FKBP9	-0.21
NT5C3A	-0.26
ARL4A	-0.70
CCZ1	-1.00
POLM	-0.68
RAMP3	-0.15
FTSJ2	-1.07
TWIST1	-0.14
SMU1	-1.59
GLIPR2	0.54
SLC25A51	-0.82
CLTA	-0.22
RECK	0.35
SPINK4	-0.05
ACO1	-0.47
KIAA1045	-0.73
DNAI1	-0.80
DCAF10	-0.17
CNTFR	-0.15
KIAA1549	-0.03
TRIM24	0.14
C7orf49	-0.54
CALD1	-0.11
AKR1D1	-0.22
NUDT10	-0.49
SFTPA1	0.26
NEUROG3	-0.09
PLAU	-0.19
SRGN	0.14
CHST3	-0.30
BICC1	-0.36
CISD1	0.09
EGR2	-1.05
ECD	-2.42
P4HA1	0.50
SLC25A16	-0.44
ZWINT	-1.82
VPS26A	0.24
RBM19	-2.12
CIT	-0.45
IFT81	0.28
ACADS	-0.65
HVCN1	-0.97
DDX54	-2.47
MED13L	-0.56
CDKN2C	0.10
RNF11	-0.41
RASSF8	-0.37
BHLHE41	-0.31
SSPN	-0.10
ITPR2	-0.31
CCDC91	-0.27
NECAB1	0.34
WWP1	0.06
ACOT9	-0.14
PRDX4	0.42
DDX39A	-0.39
PKN1	0.12
C19orf43	-0.23
CD97	0.10
WDR83	-2.18
GIPC1	-0.17
ACTRT1	-0.53
CCDC70	-0.50
SPRYD7	-0.01
EBPL	-0.75
ATP7B	0.06
ZC3H13	-1.00
NLN	-0.09
CENPK	-1.51
OPTN	-1.34
ATF1	0.18
TSFM	-1.57
NEUROD4	-0.02
ARHGAP9	-0.28
NCKAP1L	-0.66
MMP19	-0.79
PFDN5	-1.26
SPATS2	-0.67
ORMDL2	-0.01
NR4A1	-0.47
PDE1B	-0.62
HOXC13	0.36
CDK2	-1.26
LRP1	0.00
HOXC11	-0.19
C12orf44	-0.21
NFE2	-0.37
HOXC12	-0.33
IKZF4	-0.37
SMUG1	-0.18
TUBA1B	-0.57
METTL21B	-0.55
KBTBD4	-0.95
SARDH	-1.00
DBH	-1.05
ATPAF1	-0.15
STIL	-0.60
HJURP	-1.27
IL13RA2	-0.08
COL10A1	0.27
AMD1	-0.47
NDUFAF4	-0.68
USP45	-0.33
PLP1	-0.28
SERPINA7	-0.29
MORF4L2	0.23
H2BFWT	-0.23
RAB9B	-0.37
FAM199X	-0.45
ESX1	-0.19
MAGEA9B	-0.71
ATXN3L	0.52
RAB9A	0.05
TTC21B	0.22
NMI	-0.15
TNFAIP6	-0.29
ACVR1C	-0.51
BAZ2B	-0.46
SLC36A1	-1.17
LPGAT1	-0.26
BATF3	-0.33
G0S2	-0.01
KCNJ2	-0.09
RAP2C	0.30
EXOSC9	-1.41
PLA2G12A	0.02
B9D2	-0.58
ADCK4	-0.41
PFKFB2	-0.22
C4BPA	0.02
C4BPB	-0.19
RAB38	-0.22
GPR83	-0.51
AGO2	-1.75
MXD4	0.03
CKS2	-0.25
DAW1	-0.49
ACSL3	1.05
CHPF	0.41
DNPEP	-0.13
INHA	-0.48
MOGAT1	-0.82
OBSL1	-0.91
FAM124B	-0.38
SLC12A4	-0.68
ENKD1	-0.88
MC3R	-0.94
CTCFL	-0.21
FAM210B	-0.91
PI3	0.61
FAM209A	-0.38
SNX21	-0.29
SLPI	-0.40
WFDC3	-0.34
TTPAL	0.54
PREX1	-0.83
KCNS1	-0.52
SLC12A5	-1.28
SDC4	0.09
NCOA3	-0.86
PIGT	-1.31
SEMG2	-0.01
MATN4	-0.34
NCOA5	-0.44
VAPB	0.01
PARD6B	0.18
ATP5E	-0.49
CHD6	-0.53
PLCG1	0.33
TOX2	-0.37
SRSF6	-0.23
GDAP1L1	-0.39
GTSF1L	-0.20
ARFGEF2	-0.19
ZNFX1	-0.34
ZNF831	-0.95
EDN3	-0.50
CSE1L	-1.55
RAB22A	0.20
PTGIS	-0.73
STAU1	-1.56
CDH26	-0.24
SNAI1	-1.00
MOCS3	-1.90
STX16	-0.03
PMEPA1	-0.47
RNF114	-0.35
DDX27	-2.43
RBPJL	-0.46
SEMG1	0.56
C20orf85	-0.23
BCAS4	-0.81
KCNK15	-0.61
TP53TG5	-0.49
PCK1	-0.46
ZBP1	0.04
NEURL2	-0.38
MAGEA10	-0.29
MTRR	-0.90
FASTKD3	-0.47
PEPD	-0.19
CHST8	-0.39
IQSEC2	-0.57
VAMP7	-0.33
IL9R	-1.05
XG	0.33
STAMBP	-0.57
NAGK	-1.11
MCEE	-0.22
PAIP2B	0.10
SNRNP27	-1.64
MPHOSPH10	-2.39
IL17C	-0.40
ATP8A1	-0.65
USP22	-0.51
POF1B	0.59
HIF3A	-0.88
ZNF576	-0.54
IRGC	-0.96
ZNF45	-0.22
LYPD3	-0.53
PSG8	-0.25
CEACAM8	-0.24
NDP	-0.24
USP9X	-1.90
CRISP2	0.09
F13A1	0.06
GRM4	-0.43
TRERF1	-0.46
PACSIN1	-0.42
BTN2A2	-0.01
SIRT5	-0.30
HIST1H4B	-0.74
MRS2	-0.23
WRNIP1	-0.51
RRP36	-1.55
BTN1A1	-0.28
SNRPC	-1.75
SLC17A3	-0.83
SLC17A1	-0.06
SERPINB6	-1.49
XPO5	-1.54
ABCC10	-0.01
HIST1H1D	0.44
HIST1H4G	-0.18
PEX6	-0.28
NQO2	-0.26
PRICKLE4	-0.60
OARD1	-0.13
UNC5CL	-0.85
AARS2	-2.26
HIST1H1A	-0.76
ZNF391	-0.11
RPS10	-2.57
MOCS1	-0.22
HIST1H2BJ	-0.48
MED20	-1.50
TBCC	-2.41
SPDEF	-0.99
TCP11	-0.84
MAD2L1BP	-1.21
HIST1H3B	-0.22
APOBEC2	-0.02
KLHDC3	-0.33
GNMT	-0.36
TREM1	0.43
MEA1	-0.93
KLHL31	-0.64
COL21A1	0.00
CDKN1A	-0.45
SOX4	0.19
GLO1	-0.02
CPNE5	-0.44
KCNK17	0.64
RREB1	-0.82
SSR1	-0.54
RIOK1	-1.18
NRN1	0.04
SLC35B3	0.29
RPP40	-1.41
ATXN1	-0.77
NUP153	-1.63
DEK	-0.79
EEF1E1	-1.28
CRISP1	-0.01
RUNX2	-0.42
OPN5	-0.49
GCM2	-0.36
LRRFIP1	-0.44
RAB17	-0.81
CXCL6	-0.11
EREG	-0.24
MYRF	-0.61
SCGB1D2	-0.18
SCGB2A1	-0.06
AHNAK	0.40
EMC3	-1.18
SSUH2	-0.43
WNT1	-0.79
SH3TC1	-0.04
CNOT1	-0.82
LRRC29	-0.39
BBS2	0.02
MT1G	-0.53
MT2A	-0.34
C16orf70	-0.54
GOT2	0.00
DOK4	-0.40
PIWIL1	-0.69
GPR18	-0.02
CLYBL	-0.28
TMTC4	-1.03
RAP2A	-0.41
SLC10A2	0.07
ABCC4	-0.40
EFNB2	0.35
SOX21	0.05
TM9SF2	-1.08
C17orf53	-1.79
KIF25	-0.49
IRF1	-0.16
UPF3B	-0.71
RNF113A	-1.26
SEPT6	-1.23
TMEM255A	0.14
NDUFA1	-0.87
AMELX	-0.20
ATP5S	-0.21
BMP4	0.30
PTGER2	-0.57
FAM193A	1.29
GRK4	-0.37
SOX9	-0.82
TEKT3	0.38
MYH2	-0.45
HS3ST3B1	-1.31
SLC25A35	-0.15
MRPS7	-1.31
GGA3	-0.98
ARMC7	-2.32
NUP85	-2.75
SLC25A19	-0.82
MIF4GD	0.00
NT5C	-0.77
MSTO1	-1.57
C1orf61	-0.85
TTF1	-1.19
GTF3C4	-1.51
DDX31	-1.42
BARHL1	-0.46
KIR2DL1	0.46
PPP1R12C	-1.17
MBOAT7	-0.77
SRMS	-0.24
OPRL1	-0.74
SLC2A4RG	-0.52
NPBWR2	-0.28
C20orf195	-0.55
BHLHE23	0.20
PPDPF	-0.63
IL1B	-0.21
PLGLB2	-0.21
IL37	0.53
CHCHD5	-0.12
PAX8	-0.08
INSIG2	-0.73
POLR1B	-2.67
CCDC93	-1.40
PSD4	-0.50
SLC25A23	-0.06
PSPN	0.03
GTF2F1	-0.44
ALKBH7	-0.16
CLPP	-0.32
TNFSF9	0.14
GRIA3	0.08
THOC2	-1.94
MED1	-1.17
RPL23	-2.61
ATG4C	-0.10
CD70	0.26
C3	-0.42
SH2D3A	0.19
TRIP10	0.03
GPR108	-0.39
TNFSF14	-0.13
FOSB	-0.03
OPA3	0.33
SNRPD2	-1.49
RTN2	0.20
EML2	-0.91
VASP	0.07
SYMPK	-0.54
GPCPD1	0.15
SDCBP2	-0.95
PANK2	-0.12
TGM3	0.05
GNRH2	-0.21
DEFB126	0.80
FOXA2	0.53
CD93	-0.51
GZF1	-0.84
PAX1	-0.26
NAPB	-0.78
CST8	-0.40
NKX2-4	-0.28
CENPB	0.14
PSMF1	-1.46
NKX2-2	-0.33
DTD1	0.25
CSTL1	0.37
RBCK1	-0.97
TMX4	0.12
CST11	-0.44
STK35	-0.46
SNRPB	-1.85
NRSN2	-0.04
AP5S1	0.20
RRBP1	-0.55
BMP2	-0.07
ZNF133	-0.52
FLRT3	0.05
OVOL2	0.08
PCSK2	0.20
GFRA4	-0.09
MKKS	-0.91
BFSP1	-1.00
DSTN	-0.88
LAMP5	-0.56
SNRPB2	0.28
MGME1	-0.18
LRRN4	-1.56
TBC1D20	0.00
ITPA	-0.08
TCF15	-0.10
OTOR	-0.25
MCM8	-1.02
BANF2	0.17
TMEM74B	-0.61
FAM110A	-0.38
SIRPD	-0.31
MRPS26	-1.73
DEFB129	0.23
S1PR4	-0.28
NCLN	0.13
CITED1	-0.31
HNRNPR	-0.47
ZNF436	-0.18
MAX	-1.43
ARMCX5	0.01
GDF5	0.16
MMP24	-0.19
NECAB3	-1.48
ID1	0.10
RALY	-0.09
DYNLRB1	-1.72
C20orf173	-0.28
EIF2S2	-1.97
ERGIC3	-0.53
ROMO1	-2.13
FAM83C	-0.35
BPIFB1	-0.29
CEP250	-1.15
PLAGL2	-0.19
GRPR	-0.21
KDM5C	-0.32
AMOT	-0.36
TMEM115	-0.33
PSMB2	-2.07
AGO3	-0.13
UROD	-0.97
ST3GAL3	-0.18
TMEM53	-0.32
HECTD3	-1.15
KLC1	-0.13
XRCC3	-1.55
TUBGCP3	-1.48
MCF2L	-0.47
F10	-0.13
PCID2	-2.23
PROZ	0.21
SLURP1	-0.06
LRFN3	-0.71
IGFLR1	-0.59
CAPNS1	-0.59
PDCD2L	-2.03
RBM42	-1.64
KIRREL2	-1.27
UBA2	-0.95
FFAR2	-0.68
HCST	0.08
FFAR1	-0.92
COX6B1	-0.63
KRT36	-0.70
THRA	-1.26
CCR7	-0.72
NR1D1	-1.08
FRMD8	-0.74
PRDX5	0.55
BCL2L12	-0.81
IRF3	-0.71
PRMT1	-2.17
RRAS	-0.32
PRRG2	-0.62
SCAF1	-2.47
PRR12	-0.84
TSKS	-0.86
FLRT1	-0.19
ASL	-0.29
SBDS	-1.47
CSN1S1	0.50
STATH	0.59
STAT5A	-0.26
WNK4	-0.57
BECN1	-1.56
PRKCG	-0.43
TRAP1	-0.67
GLIS2	-0.93
NSRP1	-0.53
DNAJC8	-1.86
AHDC1	-0.40
IFI6	-0.11
DACH2	-0.16
ZNF384	-0.47
SSX1	-0.66
UXT	-2.07
CFP	-1.23
ELK1	-0.36
TIMM17B	-0.11
ATG14	-0.85
KTN1	-0.28
SIX1	0.46
RHOJ	0.13
DLGAP5	-0.86
L3HYPDH	-0.20
HSPA2	0.20
ZBTB1	-0.73
TRMT5	-2.05
SGPP1	-0.76
PLEKHG3	-0.28
PZP	-0.52
PRDM7	-0.51
RHOT1	-0.76
EVI2A	-0.06
OMG	-0.25
WDR60	-0.64
AIF1L	-0.75
FAM78A	0.31
NUP214	-2.84
CTAG2	0.06
AVPR2	-0.54
SLC10A3	-0.15
MAP2K2	-0.39
HNRNPH2	-1.36
ARMCX1	0.35
TMEM35	-0.49
NXF5	0.15
TIMM8A	-0.80
ZC4H2	0.29
CANX	-0.23
CPSF3L	-1.46
RGS13	-0.19
IPPK	-0.38
ZNF484	-0.19
OMD	-0.26
FGD3	-0.79
HIVEP3	-0.63
PPCS	0.13
EDN2	-0.57
BCL11B	-0.48
COX7C	-1.39
TRAF2	-2.17
ABHD8	-0.35
MASP1	-0.49
ATP13A4	-0.53
HRASLS	0.17
HELB	-0.53
RAP1B	-0.15
IL22	-0.54
TSPAN8	0.22
BEST3	-0.73
RAB3IP	-0.25
PTPRB	-0.36
DYRK2	-0.18
YEATS4	-1.39
TAS2R3	-0.77
TAS2R4	0.09
TAS2R5	-0.39
CRYGN	-0.06
LRRC61	-0.38
TRPV5	-1.06
IDUA	-0.17
FGFRL1	-0.66
TMEM175	-0.20
AUNIP	-1.73
PIN1	-0.81
FBXL12	-1.02
EMC1	-1.94
PLA2G5	0.08
UBR4	-2.03
HP1BP3	-0.68
EMR2	-0.38
SIN3B	-0.54
SLC35E1	-0.96
EPS15L1	-0.94
KLF2	-0.94
F2RL3	-0.02
UQCR11	-0.74
GFER	-1.48
SYNGR3	0.26
PKMYT1	-1.35
WFIKKN1	-0.52
WDR24	-1.48
FBXL16	-0.73
CHTF18	-1.81
GNG13	0.07
MACF1	-0.04
SMARCA4	-1.89
KDM4B	-0.79
TICAM1	-1.35
METTL25	-0.55
IL17B	-0.23
EMC6	-1.59
METTL16	-2.40
TUBA4A	-0.08
VIL1	-0.76
AAMP	-1.64
PNKD	-0.26
TNFRSF19	-0.53
RNF6	-0.01
ECHS1	-0.84
ZNF835	-0.46
AKAP9	-0.94
GNG11	0.67
SHFM1	-1.03
GNGT1	-0.23
HIP1	-0.79
PTPN12	-0.39
POR	-0.17
FGL2	-0.31
STYXL1	-0.51
STEAP4	-0.07
GNAI1	-0.05
PEX1	-0.86
MTERF	-0.55
SGCE	0.55
RBM48	-1.76
CASD1	-0.43
ZNF780B	0.05
LRFN1	-1.04
ZFP36	-1.27
SRD5A3	-0.23
SPINK2	0.26
RASL11B	0.39
PAICS	-0.98
KDR	-1.05
PPAT	-0.35
TUBGCP6	-2.53
ADM2	-0.31
DGCR6L	-0.15
DGCR8	-1.84
ASPHD2	-0.10
VPREB3	-0.20
SDF2L1	0.42
GAL3ST1	-1.47
YWHAH	-0.91
RFPL1	0.19
RFPL2	0.14
C22orf24	-0.10
GNAZ	-0.46
MGAT3	-1.05
ADORA2A	0.09
ATF4	-1.66
A4GALT	-0.48
RFPL3	-0.18
CDC42EP1	-0.66
APOL3	-0.33
MCHR1	-0.43
TPST2	-0.10
BAIAP2L2	0.24
MPST	-0.05
GALR3	-0.55
TST	0.34
APOL5	-0.70
IGLL1	-0.29
APOL2	-0.11
RAC2	-1.00
LIF	-0.57
C22orf23	0.17
APOBEC3A	0.13
APOBEC3F	0.13
KRT17	-0.89
EMC4	-0.56
RNF112	-0.82
SPECC1	-0.92
CPA4	-1.27
DOCK4	0.26
POT1	-2.16
TAS2R16	0.08
ATP6V1F	-2.02
NAA38	-0.56
CDHR3	-0.94
PRKRIP1	-0.59
VGF	-1.65
PODXL	-0.97
FOXP2	0.59
STRIP2	-0.62
RABL5	-0.05
MKLN1	-0.98
DNAJB9	-0.04
FLNC	0.23
LRRC4	-1.00
CALU	-0.33
CCDC136	-0.77
SMO	0.08
IRF5	-0.37
LRRC17	0.05
KLHDC10	-0.43
NDUFA5	-0.70
FEZF1	-0.55
OPN1SW	0.04
MRPS12	-1.09
MYO1B	-0.40
HOXD1	-0.20
HOXD3	-0.76
MTX2	-0.89
PDE11A	0.12
CHN1	0.33
GAD1	-0.15
OSGEPL1	-0.02
ORMDL1	0.07
HAT1	-1.15
HOXD9	-0.90
HOXD10	-0.54
HOXD11	-0.31
HOXD13	-0.73
HERC2	-1.29
SNRPN	0.16
PSMG2	-1.88
TWSG1	-0.22
GDF2	-0.19
ARHGAP22	-0.88
WDFY4	-0.57
EIF2AK4	-0.74
MYO5C	-0.45
CGNL1	-0.83
TMOD2	-0.64
TTBK2	-0.33
ELL3	-0.55
C15orf57	0.05
INO80	-1.97
NARG2	-1.04
DLL4	-0.24
ALDH1A2	-0.10
FAM63B	-0.53
IVD	-0.67
KNSTRN	-0.41
DUT	-1.41
CHAC1	-0.25
CLN6	-0.28
ARPP19	-0.41
VPS13C	-0.14
CALML4	-0.02
ISLR	-1.19
THAP10	-0.75
LOXL1	-0.52
ACKR4	-0.12
ANAPC13	-0.43
MBD4	-0.21
COPB1	-2.06
PSMA1	-2.00
SUMF2	-0.89
PALLD	0.46
SPCS3	-0.80
BBOX1	-0.20
MYOD1	0.20
SERGEF	0.29
KCNC1	-0.19
TPH1	-0.29
CSRP3	0.40
E2F8	0.29
DCTD	0.06
SOX15	-0.59
FAM64A	-0.82
RPAIN	-2.03
USP6	-0.85
SHBG	0.06
PLD2	-0.13
AIPL1	-0.25
CD68	-0.65
TXNDC17	-1.00
ATP1B2	-0.43
FXR2	-0.77
KIF1C	-0.42
MPDU1	-0.10
MMP28	-0.16
CCL4	0.31
MRM1	-1.02
PHF20L1	0.02
LRRC6	0.47
CCNT1	-0.67
PUS7L	-0.20
KRI1	-1.97
ILF3	-2.00
SLC44A2	-0.48
AP1M2	-0.32
CDKN2D	-0.01
MTUS1	-0.43
KLK14	-0.02
SIGLEC9	-0.78
KLK10	-0.35
KLK8	0.34
NGDN	-1.87
RIPK3	-0.14
ADCY4	-0.75
RAB2B	-0.57
BCL2L2	-0.85
AJUBA	-0.95
DTD2	0.36
PARP2	-0.81
FOXA1	-0.20
SNX6	-0.59
EAPP	-0.59
EGLN3	0.01
MIS18BP1	-2.59
NRL	0.16
RNASE1	-0.76
NEDD8	-1.26
DAD1	-2.12
TEP1	-0.96
EPB41L4A	-0.02
CDO1	0.11
REEP5	-0.16
ITFG1	-0.41
QRICH2	-0.62
FOXJ1	0.03
SEC14L1	-1.01
RHBDF2	-0.28
AANAT	-0.75
ARHGEF6	0.29
MAP7D3	0.03
FGF13	0.54
ASH2L	-3.36
TTI2	-2.06
ART1	-0.31
CHRNA10	-0.54
CDKN1C	0.74
SGOL1	-0.85
RPS4Y1	0.56
VCY1B	0.18
VCY	0.18
CDY2B	0.99
CDH15	-0.52
KLF16	-1.91
TMEM8A	-0.24
DOHH	-1.92
MAU2	-1.36
SHC2	-0.14
LPPR3	-0.62
INS-IGF2	-0.70
ABHD17A	0.03
LBP	-0.69
SYT5	-0.37
TNNI3	-1.24
CBFA2T3	-0.71
GAMT	-0.33
HDHD1	-0.05
ERMARD	0.10
PHF10	-0.67
PRRG3	0.23
GALNT8	0.06
KCNA5	-0.05
EFCAB4B	-0.56
NXNL2	-0.17
STARD8	-1.21
FAM155B	0.04
GDPD2	-0.06
SAT1	0.33
GNL3L	-1.92
SH3BP4	-0.87
MOSPD2	-0.47
DOCK6	-1.06
ECSIT	0.06
LDLR	-0.82
ELOF1	-0.96
TSPAN16	0.05
C19orf80	-0.68
PRKCSH	-0.92
CNN1	-0.75
CDC16	-2.15
ZSCAN10	-0.51
THEM6	0.24
EXOC3L2	0.13
PVRL2	-0.03
APOE	-0.20
TOMM40	-2.24
APOC1	-0.19
GADD45G	-0.57
LRCH2	-0.77
XPO7	-1.16
ACE2	-1.09
FAM98C	-0.99
SAFB2	-0.28
RPL36	-2.23
ATP8B3	-0.94
GDF1	-1.10
NCAN	-0.67
KIF1A	-0.58
GTPBP3	-0.57
PLVAP	-0.45
BST2	-0.40
SLC27A1	-0.24
NSUN5	-0.47
USHBP1	-0.46
COLGALT1	-1.17
DDA1	-0.56
MRPL34	-1.17
PGLS	0.28
LSM7	-1.92
TULP4	0.07
SNX9	-0.63
RTN4IP1	-0.69
QRSL1	-1.91
C6orf203	-0.51
RSPH3	-0.32
MAS1	0.06
ACSBG2	-0.10
MLLT1	0.06
FUT5	-0.38
BMP15	-0.15
MLLT4	-1.07
ACTN4	0.27
STK33	-0.44
NDUFA10	-0.76
EPO	0.48
ARPC1B	-0.26
CACNG6	0.29
ZSWIM6	0.11
FCHO1	-0.25
UNC13A	-0.57
MAP1S	-1.00
KLHDC7B	-0.67
SCO2	-0.84
PXDN	-0.27
SSBP4	-0.52
GDF15	0.34
PGPEP1	-0.88
KIAA1683	-0.57
LSM4	-1.02
JUND	-0.19
HRC	-0.25
TRPM4	-0.22
SULT4A1	-1.27
ZNF557	0.08
CRB3	-0.20
OLFM1	-0.16
CAMSAP1	-0.74
UBAC1	-0.53
SAG	-0.38
ZBTB46	0.35
HELZ2	-1.57
SAMD10	-0.82
LSP1	-0.90
TNNT3	-0.34
TNNI2	-0.10
COL5A1	-0.28
ATXN10	-1.53
TUBGCP2	-2.53
CALY	0.11
CYP2E1	0.05
PNPLA7	-0.90
HBZ	-0.38
PAK4	-0.99
MNX1	-0.87
ZNF337	-0.93
CEP85	-1.15
TAF4	-1.38
GATA5	-0.16
RBBP8NL	-0.64
LAMA5	-0.31
OSBPL2	0.03
ADRM1	-2.53
ASS1	0.13
PRDM12	0.73
EXOSC2	-1.36
POMT1	0.00
UCK1	-1.13
FIBCD1	-0.24
PRRC2B	-1.40
CHMP2A	-1.49
UBE2M	-1.50
TRIM28	-1.84
C16orf13	0.26
YIPF2	0.05
ATG4D	0.22
EIF2S3	-2.28
TMEM160	0.88
ZC3H4	-1.84
NPAS1	-1.08
GMFG	-1.07
MAP3K10	-0.46
ARHGEF16	-0.37
LRRC47	-0.22
SESN2	-0.32
SMPDL3B	-0.95
ATPIF1	-0.55
MED18	-1.43
THEMIS2	-0.06
CLIP1	-0.75
CCDC62	-0.08
HIP1R	-1.51
ZNF317	-0.71
PPAN	-1.82
EIF3G	-2.84
ANGPTL6	-0.08
C19orf66	-0.43
DNMT1	-1.70
ZNF426	-0.15
SLC6A8	-0.78
PNCK	-1.27
DKC1	-1.96
PLXNA3	-0.48
DUSP9	0.06
MPP1	-0.83
ZNF331	0.43
ZNF236	-1.85
SLC7A10	-1.51
LRP3	-0.36
C12orf65	-0.35
NOL11	-1.34
UBE4B	-0.64
CASZ1	-0.84
PKDREJ	-0.29
HSD17B3	0.40
NUTM2F	-0.74
HABP4	-0.37
FBP2	0.30
SLC35D2	-0.31
PRRG1	-0.40
UBA1	-1.43
RGN	-0.51
POLN	-0.29
PPIL4	-0.95
ULBP2	-0.61
AKAP12	-1.21
SYNE1	-0.31
ULBP3	-0.49
LATS1	-0.36
EPS8L1	0.19
LILRB2	-1.56
AAR2	-1.15
TTLL9	-0.82
BPIFA2	-0.11
RBM39	-1.99
COX4I2	-1.42
BPIFA3	-0.26
ZNF341	-1.15
GGT7	-0.29
DEFB118	0.04
ACSS2	-1.28
EDA2R	0.18
ARHGEF9	-0.52
C1QL1	-0.22
GFAP	-1.36
PYY	-0.23
HIGD1B	-0.62
ATP6V1E1	-1.03
ZNF227	-0.07
ZNF428	-0.09
TEX101	-0.41
ZNF141	-0.62
CCL25	-0.24
COX4I1	-1.11
EMC8	-0.07
GSE1	-1.21
GINS2	-1.94
CHMP1A	-1.39
SH3BGRL	0.05
COX7B	-0.31
SLC34A1	0.08
F12	-0.47
PRR7	-0.51
NFATC1	0.21
IDO1	-0.37
GJA9	-0.27
CAP1	-1.21
PPT1	-0.66
RAB11FIP4	-1.13
RLIM	-0.30
CDX4	-0.52
ABCB7	-2.01
TRAF3	-0.99
HAUS8	-1.71
EMR3	0.02
MRPS25	-1.99
SH3BP5	-0.42
HACL1	-0.58
TBC1D5	-0.71
CAPN7	-0.41
RFTN1	-0.68
C3orf20	-0.42
