Gene,Annot,IPSC_1_inh,IPSC_2_inh,K562_1_inh,K562_2_inh,IPSC_AV_inh,K562_Av_inh,IPSC_Av_Cut,K562_Av_cut,iPSC_1_cut,iPSC_2_cut,chr,strand.y,Count,tss_id,tss_start,start,TSS_distance,Unique,chr_type,distance,bidirectional,distance_to_neighbour_TSS,max_off_target,crispr_off_target
AP4B1,Other,-1.146874874,-0.585516652,0.630008249666667,0.292547452,-0.866195763,0.461277850833334,-0.26120835,-0.0554174326,-0.3549606,-0.1674561,1,-,1,hg_13924.1,113905027,113904737,290,Unique,Autosomal,close,<1000,319,1,specific
DCLRE1B,Other,-3.499148,-3.457667,-0.5360224,-0.7378136,-3.4784075,-0.636918,-1.4356375,-0.59758325,-1.414975,-1.4563,1,+,1,hg_4728.1,113905346,113905382.333333,36.3333333333333,Unique,Autosomal,close,<1000,319,1,specific
HIPK1,Other,-1.910575,-1.788633,-0.8067925,-0.389205,-1.849604,-0.59799875,-0.22036123,-0.0146862,-0.02806746,-0.412655,1,+,1,hg_4733.1,113929649,113929672,23,Unique,Autosomal,close,NA,24303,1,specific
OLFML3,Other,-0.1939665,-0.2658035,-0.0384607,-0.01904691,-0.229885,-0.028753805,-0.7239595,-0.55195405,-0.5770915,-0.8708275,1,+,1,hg_4748.1,113979501,113979535,34,Unique,Autosomal,close,NA,49852,1,specific
SYT6,Other,0.1832412,0.3154746,0.3585405,-0.416474,0.2493579,-0.02896675,-0.23573125,-0.111785225,-0.1793042,-0.2921583,1,-,1,hg_13937.1,114152921,114152865.333333,55.6666666666667,Unique,Autosomal,close,NA,173420,1,specific
TRIM33,Other,-0.1923297,-0.307744,0.5668658,-0.07584509,-0.25003685,0.245510355,-0.35334935,-0.07464728,-0.4559624,-0.2507363,1,-,1,hg_13947.1,114511202,114511157.333333,44.6666666666667,Unique,Autosomal,close,NA,70412,1,specific
BCAS2,Other,-5.340455,-5.302377,-3.298344,-3.253349,-5.321416,-3.2758465,-0.4678332,-0.422585,-0.6112878,-0.3243786,1,-,1,hg_13949.1,114581614,114581584.333333,29.6666666666667,Unique,Autosomal,close,NA,70412,1,specific
DENND2C,Other,-0.5221831,-0.503555,2.660777e-4,0.2988028,-0.51286905,0.14953443885,-0.3285959,-0.2612955,-0.4192862,-0.2379056,1,-,1,hg_13952.1,114670048,114669983.333333,64.6666666666667,Unique,Autosomal,close,NA,25479,1,specific
AMPD1,Other,0.116346909666667,-0.0124396116666667,0.125197733,0.12553289,0.0519536490000002,0.1253653115,-0.4381699,-0.22461595,-0.3616148,-0.514725,1,-,1,hg_13954.1,114695527,114695468,59,Unique,Autosomal,close,NA,21237,2,non-specific
NRAS,Other,-0.8341977,-0.9981889,-0.800129,-0.6228681,-0.9161933,-0.71149855,0.6088141,0.04589126,0.7036682,0.51396,1,-,1,hg_13959.1,114716764,114716693.333333,70.6666666666667,Unique,Autosomal,close,NA,21237,1,specific
CSDE1,Other,-1.892993,-1.848248,-0.8679237,-0.8502999,-1.8706205,-0.8591118,0.32935215,0.25046425,0.1861481,0.4725562,1,-,1,hg_13969.1,114757982,114757914,68,Unique,Autosomal,close,NA,22663,1,specific
SIKE1,Other,0.05477379,0.09217079,0.3000855,-0.2075325,0.07347229,0.0462765,0.5973687,0.2763403,0.601243,0.5934944,1,-,1,hg_13973.1,114780645,114780588.333333,56.6666666666667,Unique,Autosomal,close,NA,22663,1,specific
SYCP1,Other,0.2728022,0.2111341,0.3674561,-0.32894640000000003,0.24196815,0.01925485,0.12811411,-0.28450815,0.2117116,0.04451662,1,+,1,hg_4766.1,114854862,114854898.666667,36.6666666666667,Unique,Autosomal,close,NA,74217,1,specific
TSHB,NEG,0.2954977,0.3032803,0.1241168,0.3043564,0.299389,0.2142366,0.419325,-0.152991964,0.5174354,0.3212146,1,+,1,hg_4768.1,115029825,115029842.666667,17.6666666666667,Unique,Autosomal,close,NA,59664,1,specific
TSPAN2,Other,-0.2594841,-0.0996787,0.1611716,-0.4373496,-0.1795814,-0.138089,0.3867245,0.00523420000000001,0.4287062,0.3447428,1,-,1,hg_13976.1,115089489,115089423,66,Unique,Autosomal,close,NA,59664,1,specific
NGF,Other,-1.994386,-2.143942,-1.23504,-1.141123,-2.069164,-1.1880815,-0.4176511,0.08141835,-0.7226513,-0.1126509,1,-,1,hg_13981.1,115338235,115338182.333333,52.6666666666667,Unique,Autosomal,close,NA,248746,1,specific
VANGL1,Other,-1.27615,-1.386645,-0.1206422,-0.2719542,-1.3313975,-0.1962982,0.4214331,0.411691,0.4695757,0.3732905,1,+,1,hg_4789.1,115641969,115642008,39,Unique,Autosomal,close,NA,63280,1,specific
CASQ2,Other,-0.7717985,-0.992889,-0.3146392,-0.6560726,-0.88234375,-0.4853559,-0.29390085,-0.026527775,-0.3435307,-0.244271,1,-,1,hg_13984.1,115705249,115768653.666667,63404.6666666667,Unique,Autosomal,far,NA,63280,1,specific
NHLH2,Other,-3.827701,-3.233597,-0.9186822,-0.7977784,-3.530649,-0.8582303,0.20051545,0.182252815,0.2696639,0.131367,1,-,1,hg_13993.1,115840702,115841054.333333,352.333333333333,Unique,Autosomal,close,NA,135453,1,specific
SLC22A15,Other,-2.010719,-1.887098,0.2783925,-0.5338625,-1.9489085,-0.127735,-0.3137361,-0.13575503,-0.3890152,-0.238457,1,+,1,hg_4799.1,115976532,115976569.666667,37.6666666666667,Unique,Autosomal,close,NA,134868,1,specific
MAB21L3,Other,-0.06874661,0.07914934,-0.1956157,0.08262867,0.005201365,-0.056493515,0.59175705,0.23375485,0.6696838,0.5138303,1,+,1,hg_4806.1,116111400,116111436.333333,36.3333333333333,Unique,Autosomal,close,NA,134868,1,specific
ATP1A1,Other,-1.566147,-1.67918,-2.124082,-2.167079,-1.6226635,-2.1455805,-0.51429385,-1.2441362,-0.8956985,-0.1328892,1,+,1,hg_4820.1,116373243,116373287,44,Unique,Autosomal,close,NA,197750,1,specific
CD58,Other,-1.054652,-1.324566,0.7474908,0.03788924,-1.189609,0.39269002,-0.40430475,-0.20243455,-0.4779328,-0.3306767,1,-,1,hg_14016.1,116570993,116570928.333333,64.6666666666667,Unique,Autosomal,close,NA,96713,1,specific
IGSF3,Other,-0.04745464,0.08272259,0.2229456,0.255494,0.017633975,0.2392198,-0.91653825,-0.88743005,-0.9218813,-0.9111952,1,-,1,hg_14018.1,116667706,116667648,58,Unique,Autosomal,close,NA,86723,8,non-specific
CD2,Other,0.004317534,-0.03610105,-0.03706745,-0.7095735,-0.015891758,-0.373320475,0.8062367,0.50261282,0.8186892,0.7937842,1,+,1,hg_4854.1,116754429,116754488,59,Unique,Autosomal,close,NA,86723,1,specific
PTGFRN,Other,0.1893288,0.2155887,-0.02206532,0.1054301,0.20245875,0.04168239,0.54197745,0.4595715,0.5500465,0.5339084,1,+,1,hg_4858.1,116909915,116909955.666667,40.6666666666667,Unique,Autosomal,close,NA,91844,1,specific
CD101,Other,-0.01529688,0.09892974,0.3659834,-0.04577818,0.04181643,0.16010261,-0.263666695,-0.19410485,-0.4596402,-0.06769319,1,+,1,hg_4861.1,117001759,117001802.333333,43.3333333333333,Unique,Autosomal,close,NA,58567,1,specific
TTF2,Other,-3.888726,-4.480161,-2.485109,-2.833037,-4.1844435,-2.659073,-0.95241755,-0.6171057,-1.183689,-0.7211461,1,+,1,hg_4862.1,117060326,117060364,38,Unique,Autosomal,close,NA,58567,1,specific
TRIM45,Other,0.2028389,0.1351393,0.2993743,0.02008168,0.1689891,0.15972799,-0.1991045,-0.071752895,-0.1922135,-0.2059955,1,-,1,hg_14025.1,117121736,117121677.666667,58.3333333333333,Unique,Autosomal,close,NA,61410,1,specific
VTCN1,Other,-0.2098609,-0.1118389,0.1803637,-0.03061479,-0.1608499,0.074874455,0.11401735,-0.28889875,0.1159853,0.1120494,1,-,1,hg_14026.1,117210879,117210873.333333,5.66666666666667,Unique,Autosomal,close,NA,89143,1,specific
MAN1A2,Other,-0.3214234,0.3976585,0.02889901,0.5354505,0.03811755,0.282174755,0.2114695,0.2223949,0.2978778,0.1250612,1,+,1,hg_4873.1,117367461,117367513,52,Unique,Autosomal,close,NA,156582,1,specific
FAM46C,Other,-1.221637,-1.638915,-0.2447369,-0.3110803,-1.430276,-0.2779086,0.13862645,-0.065247455,0.1197584,0.1574945,1,+,1,hg_4887.1,117606051,117606083.333333,32.3333333333333,Unique,Autosomal,close,NA,238590,1,specific
GDAP2,Other,-5.103463,-5.227194,-1.990591,-1.794444,-5.1653285,-1.8925175,0.52124955,0.3453934,0.5325402,0.5099589,1,-,1,hg_14038.1,117929620,117929544,76,Unique,Autosomal,close,<1000,133,1,specific
WDR3,CEG,-5.369857,-5.639096,-3.34588,-3.845247,-5.5044765,-3.5955635,-1.1259685,-0.955513,-1.171167,-1.08077,1,+,1,hg_4899.1,117929753,117929786,33,Unique,Autosomal,close,<1000,133,1,specific
SPAG17,Other,-0.8943965,-0.5122581,-1.755579,-1.384749,-0.7033273,-1.570164,0.015171755,-0.25349645,0.08938274,-0.05903923,1,-,1,hg_14045.1,118185206,118185138.666667,67.3333333333333,Unique,Autosomal,close,NA,255453,1,specific
TBX15,Other,-0.3467378,-0.4166352,-0.113574,-0.07783005,-0.3816865,-0.095702025,-0.206096085,-0.1502010055,-0.3185668,-0.09362537,1,-,1,hg_14048.1,118914483,118987855.333333,73372.3333333333,Unique,Autosomal,far,NA,226166,1,specific
WARS2,Other,-5.040845,-5.266706,-2.274334,-2.319137,-5.1537755,-2.2967355,-0.68085565,-0.2077549,-0.605771,-0.7559403,1,-,1,hg_14068.1,119140649,119140583.666667,65.3333333333333,Unique,Autosomal,close,NA,226166,1,specific
HAO2,Other,0.2758639,0.2372555,0.1731589,-0.01570778,0.2565597,0.07872556,0.20173395,-0.038233936,0.4208477,-0.0173798,1,+,1,hg_4916.1,119368784,119368854.666667,70.6666666666667,Unique,Autosomal,close,NA,46365,1,specific
HSD3B2,Other,-0.147136,-0.3853348,0.2843051,-0.5200292,-0.2662354,-0.11786205,-0.03968649,-0.087306768,-0.03294214,-0.04643084,1,+,1,hg_4920.1,119415149,119415190.333333,41.3333333333333,Unique,Autosomal,close,NA,46365,1,specific
HSD3B1,Other,0.005632735,-0.005908871,-0.3746682,-0.08733499,-1.38068e-4,-0.231001595,-0.0503066,0.02982458,0.3488423,-0.4494555,1,+,1,hg_4921.1,119507191,119507268.333333,77.3333333333333,Unique,Autosomal,close,NA,92042,2,non-specific
ZNF697,Other,-0.06873081,-0.05770062,-0.2882312,-0.7207688,-0.063215715,-0.5045,-0.15069837,-0.09420511,0.01978846,-0.3211852,1,-,1,hg_14081.1,119648265,119648192.666667,72.3333333333333,Unique,Autosomal,close,NA,63671,1,specific
PHGDH,Other,0.04555613,-0.1029833,-0.2922089,-0.3387553,-0.028713585,-0.3154821,-0.3479034,0.0733903175,-0.491816,-0.2039908,1,+,1,hg_4928.1,119711936,119711975,39,Unique,Autosomal,close,NA,56968,1,specific
HMGCS2,Other,0.1327001,-0.04063135,0.2040391,0.6983476,0.046034375,0.45119335,-0.068190379,0.109685475,0.001034542,-0.1374153,1,-,1,hg_14086.1,119768904,119768827.333333,76.6666666666667,Unique,Autosomal,close,NA,42555,1,specific
REG4,Other,0.2324339,0.3651931,0.1434914,-0.007141291,0.2988135,0.0681750545,-0.38261165,-0.145159785,-0.5573277,-0.2078956,1,-,1,hg_14093.1,119811459,119811384,75,Unique,Autosomal,close,NA,42555,1,specific
ADAM30,NEG,0.109263924333333,0.115781398666667,0.238942516,-0.281143106666667,0.1125226615,-0.0211002953333335,0.84155165,0.14601975,0.8593377,0.8237656,1,-,1,hg_14094.1,119896494,119896438.333333,55.6666666666667,Unique,Autosomal,close,NA,85035,1,specific
SEC22B,Other,-4.062654,-3.521307,-1.535724,-1.984083,-3.7919805,-1.7599035,-0.67837155,-0.7409683,-0.6227013,-0.7340418,1,-,1,hg_14107.1,120176519,120176446,73,Unique,Autosomal,close,NA,280025,3,non-specific
FCGR1B,Other,-0.2372116,-0.2200091,0.2152088,0.07048574,-0.22861035,0.14284727,-0.50013585,-0.5526466,-0.4603739,-0.5398978,1,+,1,hg_223786.1,121087361,121087459,98,Unique,Autosomal,close,NA,97629,3,non-specific
SRGAP2C,Other,-1.677783,-1.743011,-1.004665,-0.9560246,-1.710397,-0.9803448,-0.2294362,-0.08381162,-0.2839225,-0.1749499,1,+,1,hg_223788.1,121184990,121185074,84,Unique,Autosomal,close,NA,97629,4,non-specific
NBPF15,Other,-3.42976,-3.082715,0.04416886,-0.1049591,-3.2562375,-0.03039512,-0.9783498,-0.90288855,-1.342874,-0.6138256,1,-,1,hg_14116.1,144461668,144461594.333333,73.6666666666667,Unique,Autosomal,close,NA,1146319,16,non-specific
GPR89A,Other,-1.069044,-1.672204,-0.222061,-0.07692136,-1.370624,-0.14949118,-0.62644605,-0.5526551,-0.3425074,-0.9103847,1,+,1,hg_223807.1,145607987,145607974,13,Unique,Autosomal,close,NA,99374,2,non-specific
PDZK1,Other,0.07358365,0.1161547,-0.1119526,-0.1951932,0.094869175,-0.1535729,-0.5113383,-0.27594568,-0.4305224,-0.5921542,1,-,1,hg_14119.1,145707361,145707296,65,Unique,Autosomal,close,NA,12084,2,non-specific
CD160,Other,-0.1766115,-0.0501194,-0.1053519,-0.3756859,-0.11336545,-0.2405189,-0.5522641,-0.4959623,-0.5067841,-0.5977441,1,+,1,hg_4946.1,145719445,145719537.666667,92.6666666666667,Unique,Autosomal,close,NA,12084,1,specific
RNF115,Other,-3.129385,-2.786929,-0.3718186,0.2339686,-2.958157,-0.068925,0.19991134,0.06638671,0.3012734,0.09854928,1,-,1,hg_14137.1,145824094,145823930.333333,163.666666666667,Unique,Autosomal,close,<1000,124,1,specific
POLR3C,CEG,-2.210799,-2.508538,0.08832172,-0.9044117,-2.3596685,-0.40804499,-0.46154575,-0.4926701,-0.3607212,-0.5623703,1,+,1,hg_4951.1,145824218,145824258.666667,40.6666666666667,Unique,Autosomal,close,<1000,124,1,specific
NUDT17,Other,-0.8573031,-1.077397,0.1871346,0.1441103,-0.96735005,0.16562245,-0.174134,-0.287981,-0.1756601,-0.1726079,1,+,1,hg_4953.1,145845629,145845671.666667,42.6666666666667,Unique,Autosomal,close,NA,14152,1,specific
PIAS3,Other,-2.920753,-3.825641,-0.07829612,-0.05529164,-3.373197,-0.06679388,-0.19809615,-0.3623247,-0.1642511,-0.2319412,1,-,1,hg_14148.1,145859781,145859721,60,Unique,Autosomal,close,NA,12959,1,specific
ANKRD35,Other,0.171388474,0.243495074666667,0.156539580333333,0.058315395,0.207441774333333,0.107427487666667,0.2508428,0.25021885,0.2825713,0.2191143,1,-,1,hg_14150.1,145872740,145872683,57,Unique,Autosomal,close,NA,12959,1,specific
ITGA10,Other,-1.403708,-1.19745,-0.5991757,-1.022075,-1.300579,-0.81062535,0.22897545,0.23144145,0.1992937,0.2586572,1,-,1,hg_14153.1,145910049,145909974.333333,74.6666666666667,Unique,Autosomal,close,NA,8667,1,specific
PEX11B,Other,-0.1048669,0.0446263,0.1574444,-0.197429,-0.0301203,-0.0199923,0.13423033,-0.160946555,0.2007326,0.06772806,1,-,1,hg_14156.1,145918716,145918642.666667,73.3333333333333,Unique,Autosomal,close,NA,8667,1,specific
RBM8A,CEG,-5.627164,-5.426808,-3.609804,-3.236511,-5.526986,-3.4231575,-0.62526165,-1.16399685,-0.4451741,-0.8053492,1,-,1,hg_14157.1,145927483,145927462,21,Unique,Autosomal,close,NA,8767,1,specific
LIX1L,Other,-2.071739,-2.077477,-0.8308991,-1.015267,-2.074608,-0.92308305,-0.05811246,-0.0524904435,-0.05078533,-0.06543959,1,-,1,hg_14165.1,145958014,145957962.666667,51.3333333333333,Unique,Autosomal,close,NA,4611,1,specific
ANKRD34A,Other,-1.32971679066667,-1.423973573,-0.637996313,-1.28007753166667,-1.37684518183333,-0.959036922333335,0.49616135,0.39183125,0.6330279,0.3592948,1,-,1,hg_14176.1,145962625,145962563.333333,61.6666666666667,Unique,Autosomal,close,NA,2064,1,specific
POLR3GL,Other,0.09456473,0.1860471,0.1022627,0.3219377,0.140305915,0.2121002,0.66659945,0.19350265,0.6726288,0.6605701,1,+,1,hg_4961.1,145964689,145964713,24,Unique,Autosomal,close,NA,2064,1,specific
TXNIP,Other,-0.7063617,-0.5600971,0.2121409,-0.6826047,-0.6332294,-0.2352319,0.2045043,0.376380915,0.2499873,0.1590213,1,-,1,hg_14191.1,145996578,145996529,49,Unique,Autosomal,close,NA,23896,1,specific
HFE2,Other,-0.2497093,-0.234284,-1.499238,-1.01084,-0.24199665,-1.255039,-0.449591975,-0.31720006,-0.8739347,-0.02524925,1,-,1,hg_14194.1,146020474,146021670.333333,1196.33333333333,Unique,Autosomal,middle,NA,23896,1,specific
NBPF12,Other,0.1848006,0.1355035,0.03443579,-0.3383185,0.16015205,-0.151941355,-0.2993777,-0.5057969,-0.3726514,-0.226104,1,+,1,hg_223818.1,146938330,146938377.666667,47.6666666666667,Unique,Autosomal,close,NA,234139,2,non-specific
PRKAB2,Other,-1.148424,-0.9260456,-0.2931684,-0.2288858,-1.0372348,-0.2610271,0.3436254,0.13738218,0.3595583,0.3276925,1,-,1,hg_14209.1,147172469,147172412.333333,56.6666666666667,Unique,Autosomal,close,NA,70216,1,specific
CHD1L,Other,-0.2719472,-0.01889471,-0.3855073,-0.02489328,-0.145420955,-0.20520029,-0.4058176,-0.1585095,-0.5261106,-0.2855246,1,+,1,hg_4976.1,147242685,147242733,48,Unique,Autosomal,close,<1000,364,1,specific
FMO5,Other,0.1607858,-0.006408253,0.2671944,0.5574181,0.0771887735,0.41230625,-0.05935839,-0.112959705,0.07237692,-0.1910937,1,-,1,hg_14217.1,147243049,147225276.333333,17772.6666666667,Unique,Autosomal,far,<1000,364,1,specific
BCL9,Other,0.04417413,0.05061733,0.02140201,-0.04700082,0.04739573,-0.012799405,-0.1410747,-0.010885475,-0.0822628,-0.1998866,1,+,1,hg_4980.1,147541500,147541543.333333,43.3333333333333,Unique,Autosomal,close,NA,128973,1,specific
ACP6,Other,-1.06391660266667,-0.917631564666667,-0.376696809,-0.252859372,-0.990774083666669,-0.3147780905,-0.4959789,-0.2602774,-0.581597,-0.4103608,1,-,1,hg_14226.1,147670473,147670199.333333,273.666666666667,Unique,Autosomal,close,NA,88404,1,specific
GJA5,Other,-0.03482753,-0.170827,0.4261242,-0.3005487,-0.102827265,0.06278775,0.03494075,-0.12194819,0.2063805,-0.136499,1,-,1,hg_14231.1,147758877,147760533.333333,1656.33333333333,Unique,Autosomal,middle,NA,88404,1,specific
GJA8,NEG,0.4077341,0.0982803,-0.7552278,0.1797455,0.2530072,-0.28774115,-0.31746235,-0.058687055,-0.252231,-0.3826937,1,+,1,hg_4989.1,147902794,147902829,35,Unique,Autosomal,close,NA,25627,1,specific
GPR89B,Other,-2.552331,-2.787085,0.2867224,0.2544976,-2.669708,0.27061,-0.5884192,-0.26729895,-0.6739653,-0.5028731,1,+,1,hg_4991.1,147928421,147928484,63,Unique,Autosomal,close,NA,25627,2,non-specific
NOTCH2NL,Other,0.03467614,0.1096463,0.4555317,0.3575567,0.07216122,0.4065442,-0.78009545,-0.6996632,-0.9798381,-0.5803528,1,-,1,hg_223838.1,148679742,146228888,2450854,Unique,Autosomal,far,NA,751321,5,non-specific
HIST2H2BE,Other,-0.04662801,0.1954779,0.1729453,0.3938596,0.074424945,0.28340245,-0.2346369,0.11033057,-0.2421419,-0.2271319,1,-,1,hg_14260.1,149886681,149886628.333333,52.6666666666667,Unique,Autosomal,close,<1000,236,3,non-specific
HIST2H2AC,Other,-0.02161532,-0.1050004,-0.5816639,-0.206587,-0.06330786,-0.39412545,-0.8538328,-0.72157995,-0.9808901,-0.7267755,1,+,1,hg_5036.1,149886917,149886967.333333,50.3333333333333,Unique,Autosomal,close,<1000,236,1,specific
BOLA1,Other,0.2568583,0.1571483,0.1046678,0.004402265,0.2070033,0.0545350325,0.3665174,0.131545575,0.34625,0.3867848,1,+,1,hg_5041.1,149899596,149899638,42,Unique,Autosomal,close,NA,12679,1,specific
SV2A,Other,-1.449411,-1.064675,-0.174367,-0.7107117,-1.257043,-0.44253935,-0.56568565,-0.55752135,-0.2422138,-0.8891575,1,-,1,hg_14265.1,149917843,149917760.333333,82.6666666666667,Unique,Autosomal,close,NA,9959,1,specific
SF3B4,Other,-5.038927,-5.60556,-3.615353,-3.551931,-5.3222435,-3.583642,-0.99977115,-1.2401926,-1.29596,-0.7035823,1,-,1,hg_14273.1,149927802,149927734,68,Unique,Autosomal,close,NA,9076,1,specific
MTMR11,Other,-1.773147,-1.83546,0.3864369,-0.2085604,-1.8043035,0.08893825,-0.0995722,-0.2022673,-0.3219626,0.1228182,1,-,1,hg_14282.1,149936878,149931506,5372,Unique,Autosomal,far,NA,9076,1,specific
OTUD7B,Other,-1.778356,-1.584194,-1.139484,-1.433023,-1.681275,-1.2862535,0.43433685,0.2060696,0.4913128,0.3773609,1,-,1,hg_14290.1,150010725,150010666.333333,58.6666666666667,Unique,Autosomal,close,NA,57107,1,specific
VPS45,Other,-5.143801,-5.428195,-0.6811409,-0.348906,-5.285998,-0.51502345,-0.42272205,0.15743685,-0.24262,-0.6028241,1,+,1,hg_5051.1,150067832,150067818,29.3333333333333,Unique,Autosomal,close,NA,57107,1,specific
PLEKHO1,Other,0.08780659,-1.425407e-4,0.06045763,-0.1047056,0.04383202465,-0.022123985,0.20215645,0.04667328,0.1974151,0.2068978,1,+,1,hg_5057.1,150149915,150149961.666667,46.6666666666667,Unique,Autosomal,close,NA,82083,1,specific
ANP32E,Other,-1.882854733,-1.77997489333333,-0.275399068,-1.205053502,-1.83141481316666,-0.740226285,0.4169209,0.178316355,0.4910574,0.3427844,1,-,1,hg_14304.1,150236111,150236084.666667,26.3333333333333,Unique,Autosomal,close,NA,21989,1,specific
CA14,Other,0.06524836,-0.05743275,0.3091267,0.2188919,0.003907805,0.2640093,0.61876455,0.4242729,0.6373492,0.6001799,1,+,1,hg_5086.1,150258100,150258140.666667,40.6666666666667,Unique,Autosomal,close,NA,10913,1,specific
APH1A,Other,-0.147453777666667,-0.20382437,0.346132059,-0.360092881666667,-0.175639073833333,-0.00698041133333349,0.3582733,0.076253075,0.4693943,0.2471523,1,-,1,hg_14311.1,150269013,150268953.333333,59.6666666666667,Unique,Autosomal,close,NA,3781,1,specific
C1orf54,Other,0.003154569,0.24996669999999999,-0.7339036,-0.594656,0.1265606345,-0.6642798,-0.4151762,-0.33684435,-0.3918233,-0.4385291,1,+,1,hg_5088.1,150272794,150272847.333333,53.3333333333333,Unique,Autosomal,close,NA,3781,1,specific
CIART,Other,0.5729116,0.6061327,0.75819,0.324048,0.58952215,0.541119,0.23908525,0.057649775,0.3251219,0.1530486,1,+,1,hg_5089.1,150282583,150282607.333333,24.3333333333333,Unique,Autosomal,close,NA,9789,1,specific
MRPS21,Other,-4.945616,-5.185302,-3.525545,-3.3257659999999998,-5.065459,-3.4256555,-0.63601305,-0.9050043,-0.5430494,-0.7289767,1,+,1,hg_5090.1,150293867,150293885.666667,18.6666666666667,Unique,Autosomal,close,NA,11284,2,non-specific
PRPF3,Other,-4.225816,-3.932291,-1.659212,-1.697179,-4.0790535,-1.6781955,-0.74172335,-0.447668,-0.8127256,-0.6707211,1,+,1,hg_5094.1,150321552,150321591.333333,39.3333333333333,Unique,Autosomal,close,NA,27685,1,specific
RPRD2,Other,-4.782803,-4.448239,-2.337019,-2.482902,-4.615521,-2.4099605,0.38869645,0.343272,0.3529457,0.4244472,1,+,1,hg_5100.1,150364209,150364708.333333,499.333333333333,Unique,Autosomal,close,NA,42657,1,specific
TARS2,Other,-5.508916,-5.807431,-3.973719,-3.874379,-5.6581735,-3.924049,-1.3435915,-1.2084997,-1.473593,-1.21359,1,+,1,hg_5107.1,150487434,150487450,16,Unique,Autosomal,close,NA,20674,2,non-specific
ECM1,Other,0.2669988,0.3999986,-0.05731336,0.1307818,0.3334987,0.03673422,0.4612515,0.10421945,0.2692184,0.6532846,1,+,1,hg_5109.1,150508108,150508137.666667,29.6666666666667,Unique,Autosomal,close,NA,20674,1,specific
ADAMTSL4,Other,-1.391552345,-1.33953090633333,0.661137693333333,-0.0184570896666667,-1.36554162566667,0.321340301833333,0.03357165,0.06353618,0.2488613,-0.181718,1,+,1,hg_5128.1,150549407,150549448.333333,41.3333333333333,Unique,Autosomal,close,NA,30202,1,specific
MCL1,Other,-4.256873,-4.064659,0.1808318,0.2879843,-4.160766,0.23440805,-0.73391895,-0.323822315,-0.6759493,-0.7918886,1,-,1,hg_14324.1,150579609,150579565,44,Unique,Autosomal,close,NA,30202,1,specific
ENSA,Other,-1.083805,-1.016679,-0.04651439,-0.2755803,-1.050242,-0.161047345,-0.57967225,-0.21566660000000001,-0.6305754,-0.5287691,1,-,1,hg_14338.1,150629576,150629530,46,Unique,Autosomal,close,NA,49967,2,non-specific
GOLPH3L,Other,0.1651482,0.04059892,-0.1532296,-0.215156,0.10287356,-0.1841928,0.56682275,0.2134781,0.631625,0.5020205,1,-,1,hg_14343.1,150697153,150697098.333333,54.6666666666667,Unique,Autosomal,close,NA,23658,1,specific
HORMAD1,Other,-0.3478471,-0.06713521,0.28313,-0.3338358,-0.207491155,-0.0253529,-0.32579995,-0.092909279,-0.3581098,-0.2934901,1,-,1,hg_14345.1,150720811,150720806.666667,15,Unique,Autosomal,close,NA,11484,1,specific
CTSS,Other,-0.03387952,-0.003673145,0.5437808,0.01731337,-0.0187763325,0.280547085,0.0026468,0.28770965,-0.1274102,0.1327038,1,-,1,hg_14348.1,150732295,150765722.333333,33427.3333333333,Unique,Autosomal,far,NA,11484,1,specific
CTSK,Other,0.07443869,-0.06375058,0.07668304,0.03456793,0.005344055,0.055625485,0.42832275,0.123484705,0.3847085,0.471937,1,-,1,hg_14362.1,150808309,150808210,99,Unique,Autosomal,close,NA,68286,1,specific
ARNT,Other,-1.483932,-1.72954,0.3499188,0.2151439,-1.606736,0.28253135,-0.17603305,-0.18048588,-0.232194,-0.1198721,1,-,1,hg_14369.1,150876595,150876548.666667,46.3333333333333,Unique,Autosomal,close,NA,49776,1,specific
SETDB1,Other,-3.929348,-3.280518,-1.421716,-1.072025,-3.604933,-1.2468705,-0.78031875,-0.7302947,-0.7556664,-0.8049711,1,+,1,hg_5162.1,150926371,150926420,49,Unique,Autosomal,close,NA,48463,1,specific
CERS2,Other,0.04504733,0.1136333,-0.4875688,0.1633651,0.079340315,-0.16210185,-0.4709141,-0.114736195,-0.5076798,-0.4341484,1,-,1,hg_14379.1,150974834,150974635.333333,198.666666666667,Unique,Autosomal,close,NA,7487,1,specific
ANXA9,Other,0.113147619333333,0.08870053,0.439975765333333,0.246383935666667,0.100924074666667,0.3431798505,-0.3223526,0.2618224,-0.3610376,-0.2836676,1,+,1,hg_5171.1,150982321,150982364.333333,43.3333333333333,Unique,Autosomal,close,NA,7487,1,specific
BNIPL,Other,-1.319749,-1.272655,0.3012746,0.1716994,-1.296202,0.236487,-0.5449544,-0.19720145,-0.3882434,-0.7016654,1,+,1,hg_5178.1,151036595,151036627.333333,32.3333333333333,Unique,Autosomal,close,NA,11155,1,specific
C1orf56,Other,-0.1618076,-0.3473227,0.1802804,0.3367523,-0.25456515,0.25851635,-0.149848915,-0.254893907,-0.214668,-0.08502983,1,+,1,hg_5179.1,151047750,151047767.333333,17.3333333333333,Unique,Autosomal,close,NA,11155,1,specific
CDC42SE1,Other,-0.3007402,-0.3219706,0.1426555,0.3787256,-0.3113554,0.26069055,-0.23549602,-0.36956335,-0.03360164,-0.4373904,1,-,1,hg_14405.1,151059572,151059505.666667,66.3333333333333,Unique,Autosomal,close,<1000,838,1,specific
